ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1979-08-01,17.847,-0.66,-0.06,0.05,0.15,1.28,1.05,0.67,-1.26
1979-09-01,14.734000000000002,0.48,0.07,0.04,-0.83,1.7000000000000002,1.7,1.02,0.18
1979-10-01,7.6750000000000025,0.37,-0.05,0.17,0.78,2.12,-1.11,1.85,-0.04
1979-11-01,2.9640000000000004,0.37,-0.15,0.33,-0.44,-0.18,0.7,0.51,3.39
1979-12-01,-2.7380000000000004,0.5,-0.31,0.45,-0.42,0.83,0.6,-0.68,2.46
1980-01-01,-6.5280000000000005,0.81,0.13,0.52,-0.26,0.66,2.61,-1.01,0.66
1980-02-01,-9.878,0.21,0.58,0.64,0.65,-0.87,3.06,2.03,0.92
1980-03-01,-3.3510000000000004,0.21,0.44,0.59,-1.54,-0.48,-1.54,-0.64,-0.76
1980-04-01,5.476,0.52,0.39,0.46,0.19,-0.24,-2.12,1.66,0.1
1980-05-01,12.879,0.86,0.43,0.34,0.31,1.82,-1.2,-0.16,1.3
1980-06-01,14.443,0.44,0.38,0.38,-0.3,0.58,0.41,-0.81,1.43
1980-07-01,19.469,0.64,0.03,0.48,-1.42,0.87,-2.01,-0.81,-0.66
1980-08-01,20.354,0.26,-0.18,0.46,0.3,0.92,-0.9,-2.03,-0.29
1980-09-01,14.248,-0.12,-0.2,0.25,0.24,0.7250000000000001,1.92,-0.08,0.85
1980-10-01,5.8100000000000005,0.26,-0.15,0.03,-1.86,0.53,0.86,2.87,-0.13
1980-11-01,0.782,0.11,0.08,-0.07,0.45,0.86,1.11,1.28,1.56
1980-12-01,-7.983,0.31,-0.23,0.02,1.18,0.15,1.13,-0.57,1.72
1981-01-01,-11.547,0.33,-0.34,0.11,-0.04,-0.75,0.18,2.46,1.57
1981-02-01,-3.702,-0.31,-0.18,-0.01,0.04,-0.7,0.42,0.21,0.35
1981-03-01,-1.3430000000000002,-0.03,-0.42,-0.26,1.35,1.59,0.84,1.27,0.71
1981-04-01,6.295,0.82,-0.1,-0.5,-1.17,-0.35,-1.38,-1.23,2.48
1981-05-01,10.989,0.18,0.01,-0.47,0.11,-0.15,-0.39,1.83,0.03
1981-06-01,16.951,-0.35,-0.71,-0.37,-1.13,0.43,-0.73,-0.1,-1.71
1981-07-01,19.846,-0.47,-0.88,-0.26,0.9,1.24,1.26,-1.02,-0.5
1981-08-01,18.837,-0.58,-0.59,-0.29,1.37,0.15,-1.34,-1.54,1.09
1981-09-01,13.681,-0.29,-0.52,-0.3,0.07,0.585,-0.07,0.08,0.72
1981-10-01,5.8610000000000015,-0.19,-0.54,-0.25,-0.34,1.02,-0.39,-1.43,1.85
1981-11-01,2.349,0.32,-0.43,-0.16,-1.08,-0.03,-3.01,1.19,3.29
1981-12-01,-4.25,-0.15,-0.6,-0.13,-2.09,0.03,0.79,-0.42,0.36
1982-01-01,-11.488,-0.11,-0.73,-0.15,-0.73,-0.19,-1.41,-1.75,-1.39
1982-02-01,-8.436,-0.36,-0.23,-0.08,-2.08,0.48,-0.52,-1.2,-1.68
1982-03-01,-3.293,-0.06,-0.18,-0.05,-1.23,-0.82,0.63,-1.66,0.68
1982-04-01,3.367,0.0,-0.41,0.07,-1.62,-0.94,-0.08,-2.08,0.33
1982-05-01,14.817,0.47,-0.05,0.19,0.3,0.7,0.6,-0.53,-2.41
1982-06-01,14.931,1.05,0.2,0.47,1.32,-0.4,-1.65,2.17,-0.82
1982-07-01,19.828,1.74,0.0,0.66,0.75,-0.01,0.25,0.49,-0.3
1982-08-01,16.677,1.57,-0.1,0.72,-0.29,-1.5,0.24,0.31,0.35
1982-09-01,14.469000000000001,1.9,-0.01,0.79,0.1,-0.19499999999999984,-0.15,0.83,0.22
1982-10-01,9.113,2.04,0.39,1.07,2.17,1.11,0.08,-0.86,0.16
1982-11-01,3.093,2.22,0.54,1.58,-0.2,1.16,0.38,-0.47,-2.09
1982-12-01,-0.5460000000000003,2.69,0.41,1.97,-0.11,0.41,-1.27,0.45,0.82
1983-01-01,-5.897,2.38,0.95,2.18,-0.49,-0.98,-0.96,0.87,-0.96
1983-02-01,-4.17,2.76,1.89,2.23,0.53,-1.29,-0.53,1.44,-0.59
1983-03-01,-0.254,3.08,2.3,2.18,0.16,0.1,-0.11,2.03,-0.79
1983-04-01,4.417000000000002,2.5,2.4,1.92,0.02,0.44,-1.55,0.98,-0.51
1983-05-01,9.558,1.57,2.86,1.54,1.31,0.54,0.86,-0.08,0.74
1983-06-01,17.642,0.66,3.0,1.29,0.47,0.54,0.8,2.1,0.03
1983-07-01,21.134,0.82,2.3,1.06,-0.03,-0.57,-0.04,0.82,-1.57
1983-08-01,20.266,0.39,1.68,0.72,-1.85,0.38,-0.44,0.5,0.84
1983-09-01,15.877,0.09,1.55,0.31,-0.36,0.03500000000000003,-1.34,-1.37,-0.52
1983-10-01,8.397,-0.67,1.73,-0.08,0.75,-0.31,1.18,0.26,0.67
1983-11-01,2.246,-0.77,1.52,-0.46,-0.98,-0.31,0.21,1.75,1.88
1983-12-01,-7.802,-0.53,0.8,-0.81,0.98,-0.6,1.86,-0.61,0.05
1984-01-01,-10.548,-0.37,0.65,-1.0,0.93,-0.46,-0.29,0.6,0.41
1984-02-01,-2.5380000000000003,-0.37,0.13,-0.91,0.37,0.63,1.55,0.73,-0.03
1984-03-01,-5.8260000000000005,-0.54,-0.61,-0.6,1.72,-0.95,1.56,1.08,0.53
1984-04-01,6.4940000000000015,0.02,-1.03,-0.42,-0.98,-1.67,1.34,1.41,0.52
1984-05-01,9.69,-0.56,-0.84,-0.34,-2.06,-1.43,-1.04,0.37,1.42
1984-06-01,17.516,-0.39,-0.58,-0.43,-1.78,-0.56,0.59,-0.36,-0.05
1984-07-01,18.883000000000006,-0.28,-0.15,-0.51,-2.14,-0.57,-1.07,-2.61,-0.89
1984-08-01,19.86,-0.2,-0.23,-0.45,0.64,-0.5,-0.01,-1.14,-1.14
1984-09-01,13.234000000000002,-0.31,-0.49,-0.3,-1.72,-0.735,1.31,-0.02,1.09
1984-10-01,9.929,-0.21,-0.93,-0.16,-0.17,-0.97,1.22,-0.53,0.5
1984-11-01,1.979,-0.2,-1.17,-0.24,0.32,-1.41,1.95,0.39,-1.78
1984-12-01,-1.5960000000000003,-0.66,-0.78,-0.56,2.08,0.98,-0.95,-1.9,0.37
1985-01-01,-9.299,-0.62,-0.41,-0.92,-0.63,-1.7,1.22,1.44,-1.0
1985-02-01,-6.971,-0.19,-0.34,-1.14,-0.17,-0.64,-1.16,-0.99,-1.73
1985-03-01,-1.5670000000000002,-0.95,-0.67,-1.04,1.18,-0.76,0.18,-1.19,0.54
1985-04-01,6.9350000000000005,-0.72,-0.99,-0.85,0.06,-0.1,1.42,-1.27,-0.41
1985-05-01,12.698,-1.08,-1.27,-0.77,-0.34,0.85,0.37,-0.82,-0.8
1985-06-01,14.654000000000002,-0.5,-1.26,-0.78,0.38,1.25,-0.79,1.28,-1.67
1985-07-01,18.866,-0.11,-0.9,-0.78,0.18,-0.49,-0.45,-0.19,-0.33
