ds,AverageTemperature,BEST,NINA,ONI,EA_first_difference,EA_seasonal_difference,EA_seasonal_first_difference,EPNP_first_difference,EPNP_seasonal_difference,EPNP_seasonal_first_difference,NAO_first_difference,NAO_seasonal_difference,NAO_seasonal_first_difference,PNA_first_difference,PNA_seasonal_difference,PNA_seasonal_first_difference,WP_first_difference,WP_seasonal_difference,WP_seasonal_first_difference
1978-03-01,17.663999999999994,0.4,-0.46,0.06,0.74,-0.69,-1.44,0.8999999999999999,2.82,0.94,3.27,1.58,3.52,-1.5799999999999998,0.51,1.5400000000000003,-1.11,-3.09,-2.86
1978-04-01,21.642,0.11,-0.94,-0.18,1.46,2.23,2.92,-0.5599999999999999,0.57,-2.25,-1.75,-1.98,-3.56,-0.010000000000000009,0.13,-0.38,1.44,-0.79,2.3
1978-05-01,26.576999999999998,-1.0,-1.15,-0.31,-1.1199999999999999,1.31,-0.9199999999999999,-1.05,1.61,1.04,2.4699999999999998,1.8,3.7800000000000002,-0.54,-0.16999999999999993,-0.29999999999999993,-0.22,0.39,1.1800000000000002
1978-06-01,27.553,-0.43,-0.97,-0.29,-0.24000000000000002,-0.44,-1.75,0.73,0.74,-0.8700000000000001,0.6499999999999999,1.97,0.16999999999999993,-0.19000000000000006,-1.49,-1.32,3.43,3.22,2.83
1978-07-01,29.008000000000006,-0.45,-0.86,-0.36,0.52,0.39,0.8300000000000001,1.2,1.67,0.9299999999999999,-2.81,-0.6900000000000002,-2.66,-1.5100000000000002,-1.3900000000000001,0.09999999999999987,-0.9300000000000002,1.5,-1.7200000000000002
1978-08-01,26.666,-0.48,-1.02,-0.42,1.35,2.86,2.4699999999999998,-0.9299999999999999,-0.9199999999999999,-2.59,1.81,1.19,1.8800000000000001,2.45,-2.18,-0.79,-1.7999999999999998,-0.10999999999999999,-1.6099999999999999
1978-09-01,25.768,-0.34,-0.72,-0.42,-0.9,-0.050000000000000044,-2.91,-1.25,-0.010000000000000009,0.9099999999999999,-0.09999999999999998,0.08999999999999997,-1.1,1.3599999999999999,2.0999999999999996,4.279999999999999,0.26,-1.21,-1.1
1978-10-01,24.485,0.16,-0.41,-0.29,0.59,0.4099999999999999,0.45999999999999996,0.9099999999999999,0.72,0.73,2.01,1.5299999999999998,1.44,-0.69,-0.56,-2.6599999999999997,-1.6800000000000002,-2.4299999999999997,-1.2199999999999998
1978-11-01,17.000999999999998,0.07,-0.31,-0.08,-0.31999999999999984,1.9700000000000002,1.5600000000000003,0.8500000000000001,1.23,0.51,0.4500000000000002,3.27,1.7400000000000002,-1.17,-0.26,0.30000000000000004,0.86,0.37,2.8
1978-12-01,14.901,0.18,0.01,0.0,-0.81,-0.040000000000000036,-2.0100000000000002,0.42000000000000015,0.29500000000000015,-0.9349999999999998,-4.6,-0.52,-3.79,-0.54,-0.21999999999999997,0.040000000000000036,1.2,1.9700000000000002,1.6
