ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1977-01-01,-12.886,0.65,0.88,0.71,-0.49,0.75,-1.72,1.6,-1.08
1977-02-01,-7.897,-0.01,0.56,0.64,-1.73,-1.4,-1.0,2.43,0.08
1977-03-01,0.9299999999999996,0.78,0.22,0.34,0.45,-1.44,-1.25,-0.69,1.83
1977-04-01,6.8050000000000015,0.33,-0.64,0.23,-1.01,0.25,0.56,-0.32,0.97
1977-05-01,14.258,0.72,-0.38,0.21,-1.21,-1.84,-0.75,-0.56,-0.43
1977-06-01,15.775,1.2,-0.19,0.34,0.3,-0.24,-0.27,0.57,0.17
1977-07-01,20.116,1.23,-0.23,0.35,-0.01,0.03,-0.42,-1.04,0.96
1977-08-01,17.557000000000002,0.85,-0.38,0.42,-1.13,1.69,-0.49,2.2,0.77
1977-09-01,14.626,0.86,-0.03,0.57,0.88,-0.47,0.51,-0.72,2.13
1977-10-01,7.460000000000001,1.2,0.27,0.73,1.01,-0.29,1.08,1.25,1.67
1977-11-01,3.072,1.33,0.19,0.81,-0.87,0.05,-0.21,-0.22,-0.27
1977-12-01,-5.5840000000000005,1.18,0.25,0.79,0.33,1.405,-1.02,-0.8,-0.67
1978-01-01,-10.063,0.63,0.14,0.69,-0.63,2.76,0.26,0.13,-0.01
1978-02-01,-11.684,1.64,0.0,0.42,-0.98,0.48,-2.94,1.4,-0.15
1978-03-01,-5.4289999999999985,0.4,-0.46,0.06,-0.24,1.38,0.33,-0.18,-1.26
1978-04-01,3.0280000000000005,0.11,-0.94,-0.18,1.22,0.82,-1.42,-0.19,0.18
1978-05-01,13.055,-1.0,-1.15,-0.31,0.1,-0.23,1.05,-0.73,-0.04
1978-06-01,16.206,-0.43,-0.97,-0.29,-0.14,0.5,1.7,-0.92,3.39
1978-07-01,19.325,-0.45,-0.86,-0.36,0.38,1.7,-1.11,-2.43,2.46
1978-08-01,19.069000000000006,-0.48,-1.02,-0.42,1.73,0.77,0.7,0.02,0.66
1978-09-01,14.197000000000001,-0.34,-0.72,-0.42,0.83,-0.48,0.6,1.38,0.92
1978-10-01,7.56,0.16,-0.41,-0.29,1.42,0.43,2.61,0.69,-0.76
1978-11-01,1.959,0.07,-0.31,-0.08,1.1,1.28,3.06,-0.48,0.1
1978-12-01,-4.3290000000000015,0.18,0.01,0.0,0.29,1.7000000000000002,-1.54,-1.02,1.3
